pH,Temperature,D.O. (mg/L),Turbidity (NTU),TSS (g/L),NO3-N (mg/L),NH4-N (mg/L),ORP (MV),Conductivity (mS/cm)
6.97,10.06,4.07,92.39,0.18,29.31,46.21,-24.35,1.03
6.97,9.98,4.12,92.18,0.18,29.35,46.2,-24.67,1.03
6.97,9.91,4.18,91.96,0.18,29.32,46.31,-26.53,1.03
6.97,9.83,4.24,91.9,0.18,29.38,46.41,-28.71,1.03
6.98,9.76,4.31,91.97,0.18,29.35,46.52,-29.99,1.03
6.98,9.68,4.36,92.08,0.18,29.49,46.62,-31.08,1.03
6.97,9.6,4.43,91.69,0.18,29.38,46.85,-32.04,1.04
6.99,9.52,4.48,91.39,0.18,29.26,47.09,-32.49,1.04
6.99,9.45,4.57,91.58,0.18,29.24,47.07,-32.81,1.04
6.99,9.39,4.64,91.33,0.18,29.16,47.28,-31.02,1.04
7,9.34,4.73,91.21,0.18,29.16,47.36,-29.86,1.04
7.01,9.29,4.89,91.55,0.18,29.09,47.56,-30.25,1.04
7.03,9.25,5.1,91.17,0.19,29.19,47.5,-29.74,1.04
7.03,9.2,5.39,91.6,0.18,29.05,47.69,-29.29,1.04
7.04,9.16,5.67,91.21,0.18,29.15,47.75,-28.71,1.04
7.06,9.12,5.95,91.3,0.19,29.09,47.94,-28.77,1.04
7.07,9.09,6.27,91.43,0.18,29.05,47.98,-28.84,1.04
7.09,9.13,6.76,90.96,0.19,29.02,48.06,-28.58,1.04
7.13,9.35,7.85,91.67,0.19,29.08,48.27,-28.2,1.04
7.17,9.55,8.64,92.3,0.19,28.97,48.36,-19.61,1.04
7.22,9.81,9.47,91.72,0.18,28.7,48.88,-20.38,1.04
7.29,10.12,10.32,91.88,0.19,28.14,50.1,-17.11,1.04
7.35,10.5,11.22,92.76,0.18,27.87,50.74,-18.58,1.04
7.41,10.91,12.07,92.47,0.19,27.68,51.31,-15,1.04
7.48,11.37,12.94,92.24,0.19,27.54,51.69,-13.78,1.04
7.58,11.86,13.78,92.78,0.18,27.52,51.88,-8.07,1.03
8.14,12.91,16.21,87.39,0.24,24.42,55.5,94.01,1.03
8.26,13.45,16.92,87.4,0.23,24.78,54.63,79.66,1.03
8.35,13.97,17.18,87.6,0.23,25.15,54.06,74.66,1.02
8.42,14.46,17.56,88.37,0.24,25.08,54.24,71.52,1.02
8.47,14.95,17.75,88.82,0.23,25.26,53.87,68.57,1.02
8.52,15.44,17.85,89.29,0.23,25.31,53.79,66.39,1.02
8.56,15.9,17.88,89.9,0.22,25.53,53.48,64.53,1.01
8.58,16.32,17.81,90.6,0.22,25.77,52.94,63.12,1.01
8.6,16.74,17.63,91.38,0.23,25.94,52.57,61.91,1.01
8.62,17.12,17.31,92,0.22,26.2,52.13,60.56,1.01
8.63,17.45,17.1,92.29,0.22,26.35,51.74,59.47,1.01
8.64,17.74,16.71,91.99,0.22,26.43,51.56,58.77,1.01
8.65,17.98,16.34,92.81,0.22,26.59,51.34,57.93,1.01
8.65,18.18,15.96,93.37,0.22,26.69,50.92,57.36,1.01
8.65,18.31,15.56,94.16,0.22,26.87,50.71,56.78,1
8.64,18.41,15.01,93.82,0.22,26.84,50.57,56.65,1
8.64,18.45,14.62,94.26,0.22,27.04,50.24,56.84,1
8.62,18.44,14.07,94.68,0.22,27.25,49.88,57.36,1
8.62,18.41,13.6,94.51,0.22,27.35,49.66,57.29,1
8.6,18.37,13.04,95.25,0.22,27.52,49.34,57.81,1.01
8.58,18.3,12.48,95.72,0.22,27.57,49.32,58.38,1.01
8.55,18.21,11.93,95.92,0.22,27.83,48.94,59.41,1.01
8.52,18.12,11.35,96.18,0.22,27.84,48.96,60.37,1.01
8.47,18,10.69,96.24,0.22,27.84,49,61.65,1.01
8.41,17.87,10.05,95.58,0.22,27.96,48.95,63.12,1.01
8.34,17.72,9.25,95.65,0.22,27.98,49.05,65.69,1.01
8.24,17.54,8.46,95.49,0.22,28.12,48.93,68.89,1.01
8.13,17.38,7.64,95.5,0.22,28.13,49.17,72.87,1.02
8.01,17.22,6.92,95.6,0.22,28.07,49.28,76.39,1.02
7.89,17.06,6.33,94.74,0.22,28.08,49.52,80.24,1.02
7.77,16.91,5.74,95.42,0.22,28.17,49.49,83.95,1.02
7.66,16.77,5.19,94.51,0.22,28.06,49.83,86.71,1.02
7.56,16.62,4.83,95.17,0.22,28.02,49.92,89.4,1.02
7.47,16.49,4.34,94.89,0.22,28,49.98,91.39,1.02
7.4,16.37,3.98,94.8,0.23,28.06,50.05,92.73,1.03
7.34,16.23,3.62,93.5,0.23,28.03,50.12,93.5,1.03
7.28,16.08,3.36,94.11,0.23,27.9,50.34,94.27,1.03
7.23,15.95,3.11,93.54,0.23,27.88,50.27,94.53,1.03
7.19,15.83,2.95,93.45,0.23,27.87,50.32,94.4,1.03
7.15,15.73,2.85,92.72,0.23,27.81,50.47,94.08,1.03
7.12,15.63,2.73,93.04,0.23,27.83,50.5,93.5,1.03
7.09,15.52,2.57,92.41,0.23,27.75,50.53,93.37,1.03
7.07,15.41,2.51,92.14,0.23,27.69,50.82,92.8,1.03
7.05,15.31,2.41,91.83,0.23,27.7,50.84,92.35,1.03
7.02,15.2,2.33,91.15,0.23,27.56,51.01,91.96,1.03
7.01,15.08,2.32,90.91,0.23,27.62,50.79,91.83,1.03
6.99,14.97,2.28,90.49,0.23,27.62,50.83,91.51,1.03
6.98,14.85,2.2,90.33,0.23,27.61,50.88,91.19,1.03
6.96,14.74,2.23,89.93,0.23,27.54,51.18,90.42,1.03
6.95,14.63,2.2,89.1,0.24,27.54,50.95,90.3,1.03
6.94,14.52,2.18,89.13,0.23,27.48,51.24,90.17,1.03
6.93,14.4,2.11,88.96,0.23,27.4,51.28,90.1,1.03
6.93,14.25,2.15,88.4,0.23,27.49,51.12,90.1,1.03
6.92,14.1,2.2,88.24,0.24,27.51,51.22,89.78,1.03
6.91,13.95,2.14,88,0.24,27.46,51.31,89.78,1.03
6.91,13.82,2.13,86.95,0.24,27.44,51.24,89.66,1.03
6.9,13.68,2.09,86.86,0.24,27.48,51.31,89.66,1.03
6.89,13.55,2.25,86.68,0.24,27.39,51.37,89.4,1.03
6.89,13.43,2.23,86.31,0.24,27.44,51.29,89.46,1.03
6.89,13.31,2.28,85.81,0.24,27.36,51.48,89.46,1.03
6.89,13.2,2.37,85.51,0.25,27.36,51.52,89.4,1.03
6.89,13.08,2.4,85.42,0.24,27.42,51.57,89.53,1.03
6.89,12.96,2.46,84.97,0.24,27.27,51.74,89.46,1.04
6.88,12.85,2.53,84.57,0.24,27.35,51.64,89.46,1.04
6.88,12.74,2.58,84.42,0.24,27.27,51.95,89.46,1.04
6.89,12.62,2.66,84.16,0.24,27.34,51.86,89.59,1.04
6.88,12.5,2.69,84.49,0.24,27.26,51.91,89.72,1.04
6.89,12.39,2.79,83.8,0.24,27.33,51.94,89.72,1.04
6.89,12.29,2.87,83.5,0.24,27.19,52.11,89.66,1.04
6.89,12.18,2.93,83.63,0.24,27.27,52,89.59,1.04
6.89,12.05,2.96,83.03,0.24,27.32,51.93,89.85,1.04
6.89,11.91,3.11,83.07,0.24,27.29,52.14,89.78,1.04
6.9,11.78,3.13,83.13,0.24,27.27,52.21,89.91,1.04
6.9,11.66,3.16,82.65,0.24,27.33,52.12,89.98,1.04
6.9,11.54,3.21,82.31,0.24,27.32,52.31,90.04,1.04
6.9,11.42,3.32,82.39,0.24,27.31,52.22,89.98,1.04
6.91,11.3,3.31,82.12,0.24,27.37,52.28,89.98,1.04
6.91,11.19,3.48,82.12,0.24,27.22,52.59,89.91,1.04
6.92,11.08,3.48,82.13,0.24,27.3,52.63,90.04,1.04
6.92,10.96,3.73,81.9,0.24,27.3,52.54,90.49,1.04
6.93,10.85,3.98,81.98,0.24,27.3,52.72,91.64,1.04
6.95,10.75,4.21,81.62,0.24,27.24,52.73,93.12,1.04
6.96,10.66,4.49,81.67,0.24,27.27,52.74,94.72,1.04
6.97,10.58,4.79,81.69,0.24,27.24,52.86,96.38,1.04
6.99,10.53,5.15,81.38,0.24,27.31,52.68,97.79,1.04
7.01,10.5,5.53,81.7,0.24,27.28,52.72,99.46,1.04
7.05,10.56,6.25,81.22,0.25,27.35,52.49,101.38,1.04
7.09,10.68,7.02,81.42,0.25,27.3,52.56,103.5,1.04
7.14,10.88,7.92,81.43,0.25,27.25,52.67,105.29,1.04
7.2,11.13,8.79,81.14,0.25,26.99,53.25,106.9,1.04
7.28,11.44,9.75,81.92,0.24,26.68,53.87,108.18,1.04
7.37,11.83,10.82,82.03,0.24,26.02,55.52,109.33,1.04
7.48,12.25,11.8,82.44,0.24,25.93,55.82,109.39,1.04
7.61,12.72,12.75,83.11,0.24,25.96,56.05,108.37,1.04
7.86,14.17,11.91,55.03,0.25,23.82,61.56,108.95,1.03
7.99,14.71,14.16,80.35,0.23,25.78,56.5,102.41,1.03
8.1,15.26,14.72,81.58,0.23,26.26,55.58,95.87,1.03
8.21,15.79,15.24,82.43,0.23,26.36,55.15,90.17,1.03
8.28,16.3,15.52,83.2,0.23,26.51,54.88,85.17,1.02
8.35,16.79,15.86,84.08,0.23,26.56,54.8,80.75,1.02
8.4,17.25,15.96,84.34,0.23,26.72,54.32,77.29,1.02
8.44,17.68,16.02,84.77,0.23,26.7,54.33,74.47,1.02
8.47,18.05,16.04,85.3,0.23,27.09,53.48,72.29,1.01
8.5,18.38,15.86,85.65,0.23,26.94,53.51,70.56,1.01
8.52,18.69,15.63,86.07,0.22,27.2,52.88,69.08,1.01
8.53,18.94,15.37,86.41,0.22,27.24,52.76,68.12,1.01
8.54,19.16,15.02,86.98,0.22,27.37,52.42,67.29,1.01
8.55,19.31,14.69,87.58,0.22,27.35,52.32,66.91,1.01
8.55,19.39,14.17,87.42,0.22,27.46,52.06,66.78,1.01
8.55,19.45,13.7,88.21,0.22,27.45,52.11,66.71,1.01
8.54,19.48,13.27,88.67,0.22,27.79,51.53,66.78,1.01
8.54,19.47,12.77,88.72,0.22,27.63,51.67,67.1,1.01
8.52,19.44,12.4,88.99,0.22,27.81,51.46,67.61,1.01
8.51,19.42,11.77,88.95,0.22,27.93,51.23,68.25,1.01
8.48,19.38,11.22,89.31,0.22,27.88,51.29,69.28,1.01
8.45,19.31,10.62,89.44,0.22,28.08,51.14,70.56,1.01
8.42,19.22,10.11,89.77,0.22,28.18,51.02,71.84,1.01
8.37,19.13,9.36,90.21,0.22,28.07,51.29,73.76,1.01
8.3,19.04,8.62,89.75,0.22,28.09,51.3,76.2,1.01
8.21,18.94,7.81,89.49,0.22,28.03,51.73,79.4,1.02
8.11,18.82,6.99,89.95,0.22,28.02,51.93,83.5,1.02
7.99,18.7,6.29,89.36,0.22,28.09,51.84,87.86,1.02
7.87,18.58,5.54,89.07,0.22,28.08,52.04,91.96,1.02
7.75,18.45,4.95,89.17,0.22,27.98,52.23,95.68,1.02
7.64,18.32,4.4,88.64,0.22,27.88,52.45,98.63,1.02
7.54,18.18,4.09,88.51,0.22,27.92,52.53,100.68,1.02
7.45,18.04,3.61,88.94,0.22,27.75,52.75,102.15,1.02
7.38,17.91,3.19,88.79,0.23,27.79,52.83,103.18,1.03
7.32,17.77,2.85,88.56,0.22,27.68,52.77,103.69,1.03
7.26,17.64,2.64,88.17,0.23,27.66,52.84,103.88,1.03
7.22,17.51,2.39,87.58,0.23,27.7,52.78,103.75,1.03
7.18,17.37,2.25,87.38,0.23,27.6,52.86,103.56,1.03
7.14,17.22,2.09,87.54,0.23,27.48,53.09,103.31,1.03
7.11,17.07,2,86.55,0.23,27.42,53.19,102.99,1.03
7.08,16.92,1.88,86.41,0.23,27.45,53.01,102.54,1.03
7.06,16.76,1.82,86.02,0.23,27.54,52.98,102.22,1.03
7.04,16.61,1.73,85.49,0.23,27.35,53.22,101.83,1.03
7.02,16.46,1.66,85.46,0.23,27.36,53.33,101.38,1.03
7,16.29,1.63,85.38,0.23,27.37,53.17,101,1.03
6.99,16.14,1.59,84.91,0.23,27.24,53.42,100.61,1.03
6.97,15.99,1.58,84.42,0.23,27.26,53.52,100.23,1.03
6.96,15.82,1.56,84.2,0.23,27.34,53.23,99.72,1.03
6.96,15.64,1.56,83.89,0.24,27.32,53.24,99.46,1.03
6.95,15.48,1.54,83.19,0.24,27.33,53.35,98.88,1.03
6.94,15.33,1.53,83.44,0.23,27.35,53.32,98.63,1.03
6.93,15.18,1.56,82.67,0.24,27.23,53.55,98.37,1.03
6.93,15.02,1.59,82.23,0.24,27.17,53.67,98.24,1.03
6.92,14.86,1.61,82.03,0.24,27.26,53.63,97.99,1.03
6.91,14.69,1.62,81.55,0.24,27.18,53.63,97.79,1.03
6.91,14.52,1.65,81.38,0.24,27.19,53.76,97.73,1.03
6.91,14.37,1.71,81.31,0.24,26.99,53.99,97.6,1.03
6.91,14.22,1.73,80.85,0.24,27.15,53.83,97.47,1.03
6.9,14.05,1.75,80.36,0.24,27.08,53.95,97.41,1.04
6.9,13.89,1.77,80.28,0.24,27.09,53.92,97.6,1.04
6.9,13.74,1.82,79.83,0.24,26.97,54.16,97.54,1.04
6.9,13.59,1.87,79.9,0.24,26.99,54.27,97.6,1.04
6.9,13.46,1.94,79.46,0.24,27.04,54.05,97.67,1.04
6.89,13.33,2,78.8,0.24,26.94,54.26,97.67,1.04
6.9,13.19,2.07,78.44,0.24,27.06,54.2,97.86,1.04
6.9,13.05,2.14,78.32,0.25,27.09,54.15,97.92,1.04
6.9,12.9,2.21,78.18,0.25,26.9,54.38,98.11,1.04
6.9,12.77,2.3,78.09,0.24,26.94,54.47,98.18,1.04
6.9,12.63,2.33,77.43,0.25,26.99,54.4,98.24,1.04
6.9,12.5,2.38,77.36,0.24,26.96,54.61,98.37,1.04
6.9,12.37,2.48,77.04,0.25,26.87,54.68,98.37,1.04
6.91,12.24,2.56,77.2,0.25,26.99,54.61,98.31,1.04
6.91,12.14,2.63,76.81,0.24,26.93,54.91,98.44,1.04
6.91,12.06,2.66,76.53,0.25,26.97,54.9,98.5,1.04
6.91,12,2.68,76.1,0.25,26.9,55,98.44,1.04
6.92,11.93,2.77,76.22,0.25,26.88,55.11,98.5,1.04
6.92,11.85,2.82,76.11,0.25,26.91,55.25,98.56,1.04
6.92,11.76,2.85,76,0.25,26.8,55.54,98.69,1.04
6.92,11.67,2.89,75.45,0.25,26.76,55.7,98.76,1.04
6.93,11.59,2.97,75.47,0.25,26.72,55.69,99.2,1.04
6.94,11.52,3.17,75.5,0.25,26.78,55.81,100.04,1.04
6.95,11.47,3.41,75.56,0.25,26.79,55.75,101.7,1.04
6.96,11.44,3.71,75.06,0.25,26.81,55.82,103.56,1.04
6.98,11.43,4.14,74.85,0.25,26.88,55.82,105.61,1.04
7.01,11.46,4.61,74.49,0.25,26.85,55.92,107.79,1.04
7.04,11.54,5.27,74.32,0.25,26.94,55.79,109.71,1.04
7.08,11.68,6.01,74.66,0.25,26.83,55.99,111.57,1.04
7.14,11.88,6.86,75.05,0.25,26.87,55.81,113.43,1.04
7.19,12.1,7.71,75.13,0.25,26.65,56.31,115.1,1.04
7.25,12.34,8.38,75.9,0.25,26.68,56.33,116.7,1.04
7.33,12.68,9.12,76.03,0.25,26.38,56.8,118.3,1.04
7.4,12.91,9.72,76.55,0.25,26.2,57.27,119.33,1.04
7.52,13.42,10.77,76.65,0.24,26.2,57.3,119.65,1.04
7.67,14.02,11.69,77.13,0.25,26.09,57.63,118.43,1.04
7.82,14.58,12.61,77.79,0.24,26.11,57.69,115.55,1.03
7.97,15.13,13.36,77.79,0.24,26.17,57.32,111.19,1.03
8.09,15.67,14.01,78.5,0.24,26.22,57.29,106.13,1.03
8.46,18.41,4.49,80.1,0.23,27.19,54.5,79.79,1.01
8.49,18.74,4.36,80.35,0.23,27.08,54.56,78.25,1.01
8.51,19.05,4.22,80.7,0.23,27.45,53.64,77.29,1.01
8.52,19.28,4.03,81.09,0.23,27.45,53.43,76.45,1.01
8.53,19.5,3.86,81.19,0.23,27.52,53.16,76.13,1.01
8.55,19.67,3.68,81.53,0.23,27.47,53.23,75.81,1
8.55,19.8,3.49,81.76,0.23,27.43,53.23,75.43,1
8.55,19.88,3.3,82.26,0.23,27.62,52.64,75.56,1
8.55,19.91,3.1,83.16,0.22,27.72,52.42,75.94,1
8.54,19.88,2.91,83.08,0.23,27.87,52.1,76.2,1
8.54,19.83,2.73,83.09,0.22,27.76,52.23,76.77,1
8.53,19.74,2.56,83.29,0.22,27.83,52,77.35,1
8.52,19.63,2.4,83.53,0.22,28.03,51.53,78.12,1
8.5,19.5,2.25,83.71,0.22,28,51.61,79.08,1.01
8.48,19.36,2.09,83.75,0.22,28.02,51.58,80.3,1.01
8.45,19.21,1.93,83.74,0.22,28.2,51.28,81.77,1.01
8.41,19.06,1.73,84.16,0.23,28.18,51.42,83.57,1.01
8.36,18.88,1.54,84.3,0.22,28.18,51.41,85.94,1.01
8.3,18.71,1.39,84.2,0.23,28,51.85,89.21,1.01
8.21,18.52,1.22,84.16,0.23,28.03,52.02,92.86,1.02
8.12,18.32,1.04,83.59,0.23,28.02,52.04,96.96,1.02
7.47,17.4,0.55,82.82,0.23,27.63,53.11,112.02,1.02
7.4,17.28,0.56,82.17,0.23,27.63,53.16,112.53,1.03
7.33,17.17,0.57,82.09,0.23,27.56,53.47,112.66,1.03
7.28,17.06,0.59,82.39,0.23,27.58,53.49,112.79,1.03
7.23,16.96,0.61,81.62,0.23,27.39,53.64,112.66,1.03
7.19,16.87,0.64,81.32,0.23,27.35,53.78,112.15,1.03
7.16,16.78,0.67,80.58,0.23,27.31,53.91,111.77,1.03
7.12,16.7,0.7,82.44,0.23,27.23,54.16,111.51,1.03
7.09,16.63,0.74,82.22,0.23,27.26,54.02,111.25,1.03
7.07,16.55,0.77,82.05,0.23,27.15,54.31,111.38,1.03
7.05,16.46,0.8,81.63,0.23,27.11,54.44,111.19,1.03
7.03,16.37,0.84,80.88,0.23,27.15,54.29,110.87,1.03
7.01,16.29,0.88,81.1,0.24,26.98,54.7,110.48,1.03
6.99,16.21,0.91,80.87,0.24,27.03,54.82,109.97,1.03
6.98,16.14,0.95,79.6,0.24,27,54.8,109.71,1.03
6.96,16.06,0.99,79.77,0.24,27.06,54.77,109.52,1.03
6.95,16,1.03,79.92,0.24,27.03,54.91,109.39,1.03
6.94,15.92,1.08,79.31,0.24,26.99,54.91,109.39,1.03
6.94,15.83,1.12,78.92,0.24,26.95,55.05,109.59,1.03
6.92,15.74,1.16,78.14,0.24,26.98,55.05,109.97,1.03
6.92,15.65,1.21,78.26,0.24,26.93,55.2,109.65,1.03
6.91,15.56,1.25,78.16,0.24,27.03,55.06,109.71,1.03
6.91,15.47,1.29,78.06,0.24,26.91,55.22,109.84,1.03
6.9,15.37,1.33,77.56,0.24,26.79,55.38,109.91,1.03
6.9,15.28,1.38,77.47,0.24,26.88,55.39,109.97,1.03
6.89,15.19,1.42,77.11,0.24,26.92,55.38,110.1,1.03
6.89,15.1,1.47,76.6,0.24,26.97,55.22,110.1,1.03
6.88,15.03,1.51,76.5,0.24,26.9,55.45,110.29,1.03
6.88,14.98,1.56,76.39,0.25,26.9,55.4,110.42,1.03
6.88,14.92,1.6,75.99,0.24,26.78,55.75,111,1.03
6.88,14.88,1.66,75.98,0.24,26.8,55.68,111.25,1.03
6.88,14.84,1.69,75.27,0.24,26.8,55.78,111.12,1.03
6.87,14.78,1.72,75.52,0.24,26.85,55.61,111.06,1.03
6.87,14.71,1.75,74.67,0.24,26.87,55.76,111.12,1.03
6.87,14.62,1.78,74.61,0.24,26.82,55.92,111.51,1.03
6.87,14.52,1.81,74.3,0.24,26.83,55.95,111.51,1.03
6.87,14.42,1.84,74.12,0.24,26.7,56.27,111.7,1.03
6.87,14.32,1.89,73.7,0.24,26.93,55.86,111.64,1.03
6.87,14.21,1.93,73.26,0.24,26.72,56.18,111.7,1.03
6.87,14.11,1.98,73.21,0.24,26.73,56.36,111.77,1.03
6.87,14,2.02,72.84,0.24,26.74,56.23,112.09,1.04
6.87,13.9,2.06,72.82,0.24,26.84,56.25,112.21,1.04
6.87,13.81,2.11,72.47,0.24,26.72,56.4,112.41,1.04
6.87,13.72,2.16,72.12,0.25,26.75,56.55,112.6,1.04
6.87,13.63,2.21,72.23,0.24,26.85,56.41,112.66,1.04
6.87,13.54,2.26,71.74,0.24,26.8,56.57,112.98,1.04
6.88,13.44,2.32,71.6,0.25,26.76,56.73,113.69,1.04
6.88,13.35,2.4,71.69,0.25,26.8,56.58,115.23,1.04
6.89,13.27,2.51,71.48,0.25,26.85,56.55,116.96,1.04
6.9,13.2,2.64,71.08,0.25,26.85,56.8,119.14,1.04
6.91,13.14,2.8,70.96,0.25,26.93,56.74,121.57,1.04
6.92,13.09,3.07,70.75,0.25,26.89,56.79,123.94,1.04
7.94,19.83,1.85,81.23,0.21,28.32,52.7,112.79,1.01
7.49,19.14,1.2,80.32,0.21,27.87,53.5,123.43,1.02
7.4,18.99,1.14,80.53,0.22,27.97,53.33,124.13,1.02
7.34,18.83,1.1,80.31,0.21,27.86,53.56,124.58,1.02
7.27,18.69,1.09,80.24,0.22,27.71,53.74,124.39,1.02
7.22,18.58,1.09,80.38,0.22,27.63,53.92,123.94,1.02
7.18,18.46,1.09,80.72,0.22,27.63,54.11,124.01,1.02
7.13,18.35,1.11,80.78,0.23,27.63,53.87,124.01,1.02
7.1,18.24,1.14,80.4,0.22,27.47,54.34,124.01,1.02
7.07,18.12,1.16,80.23,0.22,27.45,54.26,124.01,1.02
7.05,17.99,1.19,80.27,0.22,27.44,54.33,124.2,1.02
7.02,17.86,1.23,80.37,0.22,27.43,54.38,124.33,1.02
7,17.74,1.26,79.98,0.22,27.41,54.45,124.45,1.02
6.98,17.61,1.29,79.76,0.22,27.54,54.08,124.52,1.02
6.97,17.49,1.33,79.38,0.22,27.46,54.27,124.65,1.02
6.95,17.38,1.37,79.76,0.22,27.38,54.61,124.9,1.02
6.94,17.25,1.41,78.97,0.22,27.36,54.53,124.97,1.03
6.93,17.13,1.45,78.93,0.22,27.26,54.74,125.03,1.03
6.92,17,1.49,79.2,0.22,27.3,54.54,125.16,1.03
6.92,16.86,1.53,78.13,0.22,27.28,54.75,125.29,1.03
6.91,16.73,1.58,78.57,0.22,27.17,54.97,125.35,1.03
6.9,16.59,1.62,78.28,0.22,27.22,54.91,125.54,1.03
6.9,16.45,1.67,78.33,0.22,27.41,54.56,125.74,1.03
6.89,16.32,1.71,78.09,0.22,27.22,54.93,125.86,1.03
6.88,16.18,1.75,78.01,0.22,27.21,54.99,126.18,1.03
6.88,16.06,1.8,77.43,0.22,27.28,54.89,126.44,1.03
6.88,15.94,1.84,77.21,0.22,27.29,54.92,126.7,1.03
6.88,15.84,1.88,77.43,0.22,27.07,55.39,126.89,1.03
6.88,15.73,1.93,77.1,0.22,27.16,55.27,126.95,1.03
6.87,15.63,1.97,77.06,0.22,27.11,55.43,127.21,1.03
6.87,15.53,2.01,76.82,0.22,27.06,55.58,127.47,1.03
6.87,15.44,2.05,76.68,0.22,26.99,55.75,127.92,1.03
6.86,15.33,2.09,76.29,0.22,27.07,55.65,128.24,1.03
6.86,15.22,2.14,76.49,0.22,27.01,55.81,128.3,1.03
6.86,15.12,2.17,75.98,0.22,27.03,55.84,128.36,1.03
6.86,15.02,2.21,75.99,0.22,26.96,56.01,128.62,1.03
6.86,14.91,2.25,75.69,0.22,27.04,55.9,128.88,1.03
6.86,14.81,2.29,75.51,0.22,27.05,55.94,129.2,1.03
6.86,14.7,2.33,75.48,0.22,26.99,55.96,129.52,1.03
6.86,14.6,2.36,75.4,0.22,27,55.98,129.84,1.03
6.86,14.49,2.39,75.32,0.22,26.94,56.15,130.03,1.03
6.86,14.39,2.43,74.97,0.22,27.03,56.33,130.16,1.03
6.87,14.29,2.46,75.24,0.22,27.04,56.21,130.29,1.03
6.87,14.19,2.51,75.06,0.22,27.04,56.25,130.54,1.03
6.87,14.07,2.55,74.72,0.22,27.18,56.29,130.8,1.03
6.87,13.96,2.59,74.51,0.22,26.97,56.47,131.06,1.03
6.87,13.85,2.64,74.46,0.22,27.06,56.36,131.18,1.03
6.87,13.75,2.69,74.55,0.22,26.92,56.69,131.18,1.03
6.88,13.64,2.74,74.24,0.22,26.98,56.6,131.44,1.03
6.88,13.52,2.8,74.16,0.22,27.05,56.5,132.34,1.03
6.89,13.41,2.89,74,0.22,26.93,56.95,133.68,1.03
6.89,13.32,3.03,73.81,0.22,27.05,56.65,135.61,1.03
6.91,13.24,3.2,73.55,0.22,27.18,56.62,138.23,1.04
6.92,13.17,3.41,73.24,0.22,27.04,56.85,141.05,1.04
6.93,13.12,3.73,72.95,0.22,27.06,56.91,144,1.04
6.94,13.08,4.07,72.7,0.22,27.12,56.92,146.88,1.04
6.96,13.08,4.42,72.92,0.23,27.22,56.94,150.41,1.03
6.99,13.15,4.78,72.92,0.22,27.33,56.85,153.93,1.03
6.71,14.71,10.47,84.33,0.18,30.09,36.88,191.36,0.99
6.87,15.3,11.3,84.52,0.18,29.11,37.73,219.04,0.99
6.96,15.69,11.54,85.06,0.18,29.08,37.84,221.93,0.99
7.06,16.11,11.45,85.22,0.18,29.02,37.92,224.43,0.99
7.17,16.58,10.78,85.23,0.17,29.17,37.66,227.12,0.99
7.3,17.09,2.69,85.67,0.17,29.5,37.19,229.88,0.98
7.44,17.61,0.06,86.42,0.17,29.69,36.81,233.14,0.98
7.58,18.15,0.04,86.94,0.17,29.73,36.63,236.35,0.98
7.69,18.68,0.03,86.88,0.17,29.75,36.55,239.62,0.98
7.79,19.21,0.03,87.55,0.17,29.83,36.31,242.31,0.98
7.85,19.72,0.02,87.37,0.17,29.93,36.1,244.87,0.98
7.91,20.19,0.02,87.86,0.17,30.07,35.83,246.41,0.97
7.95,20.63,0.02,88.21,0.17,30.18,35.69,246.99,0.97
7.99,21.06,0.02,88.34,0.17,30.31,35.5,247.56,0.97
8.01,21.44,0.02,88.67,0.17,30.37,35.21,248.52,0.97
8.02,21.82,0.02,89.2,0.17,30.54,34.96,248.65,0.97
8.03,22.16,0.02,89.4,0.17,30.41,35.02,249.36,0.97
8.03,22.47,0.05,89.87,0.17,30.46,34.95,250.25,0.97
8.02,22.73,0.31,90.28,0.17,30.28,35.1,252.24,0.97
8,22.93,0.45,90.57,0.17,30.45,34.92,254.42,0.97
7.98,23.12,0.8,90.82,0.17,30.48,34.79,257.24,0.97
7.95,23.25,1.14,91.34,0.17,30.69,34.61,259.29,0.97
7.92,23.35,1.41,91.66,0.17,30.67,34.57,261.41,0.97
7.88,23.39,1.65,92.02,0.17,30.78,34.56,263.58,0.97
7.84,23.41,1.86,92.34,0.17,30.78,34.65,265.31,0.97
7.8,23.41,2.02,92.62,0.17,30.81,34.6,267.62,0.97
7.75,23.37,2.12,92.7,0.16,31.04,34.49,269.99,0.97
7.69,23.31,2.17,92.64,0.17,31,34.39,273.07,0.97
7.63,23.22,2.15,93.02,0.17,31.09,34.34,275.31,0.97
7.56,23.12,2.05,92.87,0.17,31.14,34.29,275.95,0.97
7.48,22.98,1.9,93.05,0.17,31.08,34.27,279.54,0.97
7.39,22.82,1.72,93.08,0.17,30.77,34.52,279.41,0.97
7.29,22.66,1.45,92.67,0.16,30.59,34.6,278.2,0.98
7.18,22.48,1.17,92.39,0.17,30.73,34.43,276.14,0.98
7.08,22.29,0.91,92.44,0.17,30.64,34.43,272.75,0.98
6.99,22.11,0.7,92.34,0.17,30.47,34.61,269.42,0.98
6.91,21.94,0.56,92.38,0.17,30.16,34.86,265.63,0.98
6.84,21.77,0.48,92.17,0.17,30.08,34.94,261.34,0.98
6.78,21.59,0.45,92.37,0.17,30.18,34.92,257.18,0.98
6.73,21.44,0.45,92.3,0.17,29.98,34.97,253.27,0.98
